1771901614.971, 1.075, 0.123, 13
1771901615.071, 0.894, -0.132, 11
1771901615.171, 0.912, -0.077, 13
1771901615.271, 0.968, -0.100, 13
1771901615.371, 0.988, 0.117, 12
1771901615.471, 0.936, 0.009, 13
1771901615.571, 1.104, 0.001, 12
1771901615.671, 1.113, 0.176, 13
1771901615.771, 1.051, 0.169, 13
1771901615.871, 0.988, -0.076, 12
1771901615.971, 1.003, -0.067, 13
1771901616.071, 1.079, 0.126, 12
1771901616.171, 1.058, 0.055, 12
1771901616.271, 0.963, 0.014, 13
1771901616.371, 0.998, -0.036, 12
1771901616.471, 1.024, 0.028, 12
1771901616.571, 0.956, -0.054, 11
1771901616.671, 1.061, 0.096, 12
1771901616.771, 0.924, 0.003, 12
1771901616.871, 0.990, -0.069, 13
1771901616.971, 1.075, 0.057, 12
1771901617.071, 1.005, 0.084, 12
1771901617.171, 0.999, -0.064, 12
1771901617.271, 1.042, 0.058, 11
1771901617.371, 1.023, 0.061, 12
1771901617.471, 0.969, -0.062, 12
1771901617.571, 1.038, 0.029, 12
1771901617.671, 1.040, 0.058, 13
1771901617.771, 0.978, -0.067, 12
1771901617.871, 1.044, 0.058, 13
1771901617.971, 0.979, 0.036, 13
1771901618.071, 1.034, -0.005, 12
1771901618.171, 1.063, 0.058, 13
1771901618.271, 1.008, -0.045, 12
1771901618.371, 1.032, 0.051, 12
1771901618.471, 1.027, 0.078, 12
1771901618.571, 0.988, -0.056, 12
1771901618.671, 1.048, 0.086, 13
1771901618.771, 0.962, -0.080, 12
1771901618.871, 1.035, 0.011, 13
1771901618.971, 0.975, -0.044, 12
1771901619.071, 1.019, -0.055, 13
1771901619.171, 1.065, 0.050, 13
1771901619.271, 0.950, -0.099, 11
1771901619.371, 1.003, -0.028, 13
1771901619.471, 0.984, -0.011, 11
1771901619.571, 0.927, -0.121, 13
1771901619.671, 1.056, 0.001, 12
1771901619.771, 0.978, -0.060, 12
1771901619.871, 0.968, -0.092, 13
1771901619.971, 0.955, -0.042, 12
1771901620.071, 1.035, -0.014, 13
1771901620.171, 1.069, 0.104, 13
1771901620.271, 0.981, -0.091, 12
1771901620.371, 1.039, 0.045, 13
1771901620.471, 0.964, -0.056, 12
1771901620.571, 1.083, 0.083, 13
1771901620.671, 0.958, -0.038, 11
1771901620.771, 1.050, 0.093, 12
1771901620.871, 0.969, 0.010, 13
1771901620.971, 1.034, 0.033, 12
1771901621.071, 0.978, 0.032, 13
1771901621.171, 1.026, 0.031, 12
1771901621.271, 1.025, 0.057, 13
1771901621.371, 1.040, -0.010, 12
1771901621.471, 0.966, 0.014, 12
1771901621.571, 1.043, 0.052, 12
1771901621.671, 1.076, 0.051, 12
1771901621.771, 0.958, -0.088, 12
1771901621.871, 0.896, -0.078, 13
1771901621.971, 0.983, -0.003, 12
1771901622.071, 0.966, -0.089, 13
1771901622.171, 1.044, 0.038, 10
1771901622.271, 0.941, -0.048, 13
1771901622.371, 1.055, 0.081, 13
1771901622.471, 1.009, 0.001, 12
1771901622.571, 1.055, 0.026, 13
1771901622.671, 1.021, -0.028, 12
1771901622.771, 1.000, 0.035, 13
1771901622.871, 0.961, -0.044, 13
1771901622.971, 1.036, 0.076, 12
1771901623.071, 0.981, -0.067, 13
1771901623.171, 1.022, 0.049, 12
1771901623.271, 0.999, -0.032, 13
1771901623.371, 1.021, 0.025, 12
1771901623.471, 0.976, -0.032, 11
1771901623.571, 1.009, 0.003, 11
1771901623.671, 1.005, -0.013, 12
1771901623.771, 1.001, 0.004, 13
1771901623.871, 1.035, 0.033, 12
1771901623.971, 0.987, -0.074, 13
1771901624.071, 1.014, 0.072, 13
1771901624.171, 1.033, 0.037, 11
1771901624.271, 0.994, -0.025, 13
1771901624.371, 1.032, 0.009, 12
1771901624.471, 1.003, -0.008, 13
1771901624.571, 1.008, 0.040, 13
1771901624.671, 1.026, 0.008, 12
1771901624.771, 1.028, 0.022, 13
1771901624.871, 1.051, 0.048, 12
1771901624.971, 0.977, -0.082, 13
1771901625.071, 1.017, 0.066, 13
1771901625.171, 1.032, -0.010, 12
1771901625.271, 1.056, 0.023, 12
1771901625.371, 1.014, 0.009, 12
1771901625.471, 0.970, -0.006, 13
1771901625.571, 0.995, -0.024, 12
1771901625.671, 1.000, -0.005, 12
1771901625.771, 1.030, -0.012, 12
1771901625.871, 1.036, 0.000, 12
1771901625.971, 0.953, -0.027, 12
1771901626.071, 1.037, 0.006, 13
1771901626.171, 1.015, 0.013, 12
1771901626.271, 1.036, -0.011, 13
1771901626.371, 1.030, 0.006, 12
